Date,XHB
2006-02-28,37.01128387451172
2006-03-31,37.08213806152344
2006-04-30,35.11823272705078
2006-05-31,30.41148567199707
2006-06-30,28.18632698059082
2006-07-31,25.764196395874023
2006-08-31,26.04622459411621
2006-09-30,27.204944610595703
2006-10-31,28.51863670349121
2006-11-30,30.76354217529297
2006-12-31,31.139305114746094
2007-01-31,31.847209930419922
2007-02-28,29.70685386657715
2007-03-31,27.181116104125977
2007-04-30,28.525558471679688
2007-05-31,29.778146743774414
2007-06-30,25.290462493896484
2007-07-31,22.136472702026367
2007-08-31,20.7895565032959
2007-09-30,17.952150344848633
2007-10-31,18.598087310791016
2007-11-30,15.980756759643555
2007-12-31,16.300521850585938
2008-01-31,18.53289031982422
2008-02-29,17.18505096435547
2008-03-31,18.322107315063477
2008-04-30,18.685348510742188
2008-05-31,16.84383773803711
2008-06-30,13.967351913452148
2008-07-31,14.936477661132812
2008-08-31,16.77273178100586
2008-09-30,16.804019927978516
2008-10-31,11.994324684143066
2008-11-30,10.131956100463867
2008-12-31,10.310586929321289
2009-01-31,8.847479820251465
2009-02-28,8.012651443481445
2009-03-31,9.18235969543457
2009-04-30,11.724370956420898
2009-05-31,10.444721221923828
2009-06-30,10.195069313049316
2009-07-31,12.398942947387695
2009-08-31,13.457497596740723
2009-09-30,13.06690502166748
2009-10-31,11.988866806030273
2009-11-30,12.458332061767578
2009-12-31,13.161154747009277
2010-01-31,13.161154747009277
2010-02-28,13.857972145080566
2010-03-31,14.676727294921875
2010-04-30,16.666189193725586
2010-05-31,15.025747299194336
2010-06-30,12.520289421081543
2010-07-31,13.176031112670898
2010-08-31,12.37165355682373
2010-09-30,13.845396995544434
2010-10-31,13.582514762878418
2010-11-30,13.705193519592285
2010-12-31,15.454619407653809
2011-01-31,15.721229553222656
2011-02-28,15.863426208496094
2011-03-31,16.213764190673828
2011-04-30,16.961679458618164
2011-05-31,16.8281307220459
2011-06-30,16.114694595336914
2011-07-31,14.972562789916992
2011-08-31,13.44675350189209
2011-09-30,11.889387130737305
2011-10-31,14.4390287399292
2011-11-30,14.796876907348633
2011-12-31,15.3418550491333
2012-01-31,16.750438690185547
2012-02-29,18.060327529907227
2012-03-31,19.18828773498535
2012-04-30,19.341075897216797
2012-05-31,18.61309242248535
2012-06-30,19.2929630279541
2012-07-31,19.01283836364746
2012-08-31,21.31714630126953
2012-09-30,22.46475601196289
2012-10-31,23.559499740600586
2012-11-30,23.812828063964844
2012-12-31,24.137147903442383
2013-01-31,26.151596069335938
2013-02-28,25.679750442504883
2013-03-31,27.299692153930664
2013-04-30,27.508577346801758
2013-05-31,28.062559127807617
2013-06-30,26.741220474243164
2013-07-31,27.350223541259766
2013-08-31,25.950439453125
2013-09-30,27.837764739990234
2013-10-31,27.76498794555664
2013-11-30,29.056804656982422
2013-12-31,30.31312370300293
2014-01-31,28.738304138183594
2014-02-28,30.97765350341797
2014-03-31,29.66197967529297
2014-04-30,28.249500274658203
2014-05-31,28.70513916015625
2014-06-30,29.88768196105957
2014-07-31,26.885223388671875
2014-08-31,28.792556762695312
2014-09-30,27.05245018005371
2014-10-31,28.46038055419922
2014-11-30,30.599706649780273
2014-12-31,31.23804473876953
2015-01-31,31.3936824798584
2015-02-28,33.270530700683594
2015-03-31,33.78523254394531
2015-04-30,31.713756561279297
2015-05-31,32.94197082519531
2015-06-30,33.596397399902344
2015-07-31,34.47714614868164
2015-08-31,33.23858642578125
2015-09-30,31.433042526245117
2015-10-31,32.819671630859375
2015-11-30,33.37981033325195
2015-12-31,31.442806243896484
2016-01-31,28.075904846191406
2016-02-29,28.397878646850586
2016-03-31,31.179101943969727
2016-04-30,31.013259887695312
2016-05-31,31.49236297607422
2016-06-30,30.950292587280273
2016-07-31,33.2941780090332
2016-08-31,33.34954071044922
2016-09-30,31.366056442260742
2016-10-31,29.22199249267578
2016-11-30,31.28287696838379
2016-12-31,31.349966049194336
2017-01-31,31.95195770263672
2017-02-28,33.35970687866211
2017-03-31,34.54099655151367
2017-04-30,35.079105377197266
2017-05-31,34.7822151184082
2017-06-30,35.816505432128906
2017-07-31,35.64918518066406
2017-08-31,35.49115753173828
2017-09-30,37.08240509033203
2017-10-31,38.51653289794922
2017-11-30,40.816734313964844
2017-12-31,41.317955017089844
2018-01-31,41.775390625
2018-02-28,37.8452262878418
2018-03-31,38.15433120727539
2018-04-30,36.44258117675781
2018-05-31,36.74189376831055
2018-06-30,37.08037567138672
2018-07-31,37.14599609375
2018-08-31,37.52103042602539
2018-09-30,36.12165832519531
2018-10-31,31.940046310424805
2018-11-30,33.368370056152344
2018-12-31,30.689374923706055
2019-01-31,34.61518859863281
2019-02-28,36.21005630493164
2019-03-31,36.46978759765625
2019-04-30,38.46593475341797
2019-05-31,36.290042877197266
2019-06-30,39.52019119262695
2019-07-31,39.49173355102539
2019-08-31,39.87101745605469
2019-09-30,41.90702819824219
2019-10-31,43.28553009033203
2019-11-30,43.656307220458984
2019-12-31,43.36299514770508
2020-01-31,44.763641357421875
2020-02-29,40.64745330810547
2020-03-31,28.5059871673584
2020-04-30,34.496150970458984
2020-05-31,40.33324432373047
2020-06-30,42.110069274902344
2020-07-31,47.587257385253906
2020-08-31,50.59921646118164
2020-09-30,51.77080535888672
2020-10-31,49.9451789855957
2020-11-30,54.989654541015625
2020-12-31,55.49382400512695
2021-01-31,58.05479431152344
2021-02-28,59.72999954223633
2021-03-31,67.86648559570312
2021-04-30,72.6693115234375
2021-05-31,72.30282592773438
2021-06-30,70.73019409179688
2021-07-31,72.8064956665039
2021-08-31,75.42365264892578
2021-09-30,69.38313293457031
2021-10-31,75.01034545898438
2021-11-30,77.65960693359375
2021-12-31,83.07217407226562
2022-01-31,72.09014129638672
2022-02-28,67.83872985839844
2022-03-31,61.33894348144531
2022-04-30,59.48518371582031
2022-05-31,60.572200775146484
2022-06-30,53.239501953125
2022-07-31,62.27980422973633
2022-08-31,58.1829719543457
2022-09-30,53.35761260986328
2022-10-31,56.91869354248047
2022-11-30,60.76271057128906
2022-12-31,59.03734588623047
2023-01-31,67.97320556640625
2023-02-28,66.08423614501953
2023-03-31,66.50453186035156
2023-04-30,69.60597229003906
2023-05-31,67.61358642578125
2023-06-30,78.99710845947266
2023-07-31,83.13880157470703
2023-08-31,81.7221450805664
2023-09-30,75.50945281982422
2023-10-31,70.62801361083984
2023-11-30,81.80108642578125
2023-12-31,94.5226821899414
2024-01-31,92.6847915649414
2024-02-29,101.84457397460938
2024-03-31,110.43965911865234
2024-04-30,101.55223083496094
2024-05-31,104.2145004272461
2024-06-30,100.18112182617188
2024-07-31,117.13895416259766
2024-08-31,116.34607696533203
2024-09-30,123.57970428466797
2024-10-31,113.31116485595703
2024-11-30,121.9228515625
2024-12-31,103.85297393798828
2025-01-31,107.72882843017578
2025-02-28,100.7622299194336
2025-03-31,96.61042785644531
2025-04-30,94.4169921875
2025-05-31,93.97831726074219
2025-06-30,98.43220520019531
2025-07-31,101.76753997802734
2025-08-31,113.84062957763672
2025-09-30,110.80000305175781
2025-10-31,105.26000213623047
